resolution,trial,step,context,pred_divergence,mean_surprise,inference_time_ms
2,0,0,0,362.01514,2.405322,261.7215000791475
2,0,3,2,729.18195,2.4007463,244.12090005353093
2,0,6,2,732.4047,2.413499,269.8838000651449
2,0,9,2,735.6231,2.4622154,272.4942000349984
2,0,12,2,736.1895,2.4797738,258.90339992474765
2,0,15,2,736.6585,2.5451164,275.242600007914
2,0,18,2,736.8379,2.5887635,267.3955000936985
2,0,21,2,736.8497,2.6179388,256.65759993717074
2,0,24,2,736.8365,2.5944915,296.7206999892369
2,0,27,2,736.92645,2.6836472,254.0642999811098
2,0,30,2,736.913,2.7898645,274.71070003230125
2,0,33,2,736.89087,2.7652798,299.05909998342395
2,0,36,2,736.89716,2.6526797,307.5105999596417
2,0,39,2,736.9417,2.689386,272.8468000423163
2,0,42,2,736.92474,2.7126343,288.514000014402
2,0,45,2,736.9363,2.667525,260.0751999998465
2,0,48,2,736.9194,2.7036834,257.67319998703897
2,0,51,2,736.95087,2.8450406,269.72129999194294
2,0,54,3,737.29315,2.9281564,256.292000063695
2,0,57,3,738.0873,2.9522533,248.17420006729665
2,0,60,3,739.4844,2.924073,262.48469995334744
2,0,63,3,737.9228,2.9310365,270.847599953413
2,0,66,3,739.74634,2.9231596,263.7063000584021
2,0,69,3,746.2321,2.8727787,260.4562999913469
0,0,0,0,362.00848,2.3719833,84.33999994304031
0,0,3,0,545.5671,2.4012287,90.08949995040894
0,0,6,0,361.97125,2.368712,85.56919998954982
0,0,9,1,547.7425,2.4019194,96.33239998947828
0,0,12,1,549.21497,2.4528675,115.41299999225885
0,0,15,1,549.4642,2.424084,88.16229994408786
0,0,18,1,549.47125,2.3984408,83.65779998712242
0,0,21,2,733.01636,2.4496276,99.62440002709629
0,0,24,2,733.01514,2.4906254,126.2093000113964
0,0,27,2,733.0128,2.449199,118.09120001271368
0,0,30,2,733.0132,2.4491909,136.26870000734925
0,0,33,2,735.2012,2.6301618,125.74839999433608
0,0,36,2,735.1972,2.5117388,91.6834999807179
0,0,39,2,735.1979,2.511665,83.6284999968484
0,0,42,2,736.2691,2.548642,93.5884000500664
0,0,45,2,736.72015,2.6310973,87.80460001435131
0,0,48,2,736.7164,2.7491615,89.28249997552484
0,0,51,2,736.7213,2.749043,88.49929994903505
0,0,54,2,736.9317,2.6792624,86.57839999068528
0,0,57,2,736.9195,2.682091,83.59629998449236
0,0,60,2,736.9313,2.6792667,137.43719994090495
0,0,63,3,737.08215,2.743235,82.63229997828603
0,0,66,3,737.2386,2.7573414,85.97260003443807
0,0,69,3,737.2575,2.938047,85.9692000085488
3,0,0,0,362.00735,2.4090536,2562.478299951181
3,0,3,1,547.75824,2.3765965,2205.201999982819
3,0,6,2,733.5291,2.411163,2185.381300048902
3,0,9,2,735.63873,2.4572601,2184.830200043507
3,0,12,2,736.4542,2.491944,2180.238600005396
3,0,15,2,736.7693,2.5397854,2181.59839999862
3,0,18,2,736.84033,2.615083,2168.417299981229
3,0,21,2,736.8581,2.7502465,2153.013100032694
3,0,24,2,736.9715,2.9100733,2191.172800026834
3,0,27,3,737.36957,2.9692295,2191.6798000456765
3,0,30,3,737.67926,2.9526,2185.619900003076
3,0,33,3,737.04767,2.9447858,2247.020100010559
3,0,36,3,743.97125,2.8709705,2456.710599944927
3,0,39,3,752.8949,2.8251426,2183.317299932241
3,0,42,3,749.3497,2.86384,2184.339000028558
1,0,0,0,362.00974,2.405677,131.08960003592074
1,0,3,2,729.1798,2.4011877,247.98750004265457
1,0,6,2,732.406,2.410118,154.17990006972104
1,0,9,2,735.6255,2.466205,162.01119998004287
1,0,12,2,736.4639,2.4919727,170.73570005595684
1,0,15,2,736.76605,2.5363207,145.89749998413026
1,0,18,2,736.8692,2.6089857,164.83309993054718
1,0,21,2,736.9349,2.7101638,125.19339995924383
1,0,24,2,736.916,2.7444458,126.0001000482589
1,0,27,2,736.9342,2.731228,121.75399996340276
1,0,30,2,736.9179,2.687557,147.1035999711603
1,0,33,2,736.9206,2.707587,124.75470011122523
1,0,36,2,736.9397,2.869081,134.33939998503774
1,0,39,3,737.30066,2.9707432,178.17790003027767
1,0,42,3,738.53076,3.0949209,126.61579996347427
1,0,45,3,748.09753,3.4578607,151.18819999042898
1,0,48,3,751.097,3.0702317,164.3408000236377
1,0,51,3,753.27045,3.6687992,231.64990008808672
1,0,54,3,763.05804,3.2074893,124.54570003319532
1,0,57,3,763.05804,3.2074893,177.06700006965548
1,0,60,3,763.05804,3.2074893,152.88079995661974
1,0,63,3,763.05804,3.2074893,123.716100002639
1,0,66,3,763.05804,3.2074893,168.71150000952184
