resolution,trial,step,context,pred_divergence,mean_surprise,inference_time_ms
20,0,0,0,362.00735,2.4090536,2562.478299951181
20,0,3,1,547.75824,2.3765965,2205.201999982819
20,0,6,2,733.5291,2.411163,2185.3813000489026
20,0,9,2,735.63873,2.4572601,2184.830200043507
20,0,12,2,736.4542,2.491944,2180.2386000053957
20,0,15,2,736.7693,2.5397854,2181.59839999862
20,0,18,2,736.84033,2.615083,2168.417299981229
20,0,21,2,736.8581,2.7502465,2153.0131000326946
20,0,24,2,736.9715,2.9100733,2191.172800026834
20,0,27,3,737.36957,2.9692295,2191.6798000456765
20,0,30,3,737.67926,2.9526,2185.6199000030756
20,0,33,3,737.04767,2.9447858,2247.020100010559
20,0,36,3,743.97125,2.8709705,2456.710599944927
20,0,39,3,752.8949,2.8251426,2183.3172999322414
20,0,42,3,749.3497,2.86384,2184.339000028558
