resolution,trial,step,observation,info_gain,pred_divergence,expected_accuracy,expected_Qs_entropy,inference_time_ms
5,0,0,"(437.5, 412.5, 3.7158125367455015)",0.7099893145876149,737.2427978515625,-0.2927820735631412,2.0232623921557256,119.84379999921657
5,0,1,"(412.5, 412.5, 4.71743372998353)",0.35273135952180534,0.0,-0.5176684852365693,1.2618184031987065,232.2098000004189
5,0,2,"(387.5, 412.5, 5.968521653217249)",0.05962426463761309,0.0,-0.759789372012562,1.0728807049299673,229.30629999973462
5,0,3,"(387.5, 412.5, 5.968521653217249)",0.4597117878160046,742.28662109375,-0.24519124676011625,1.1963838484436573,119.44719999883091
5,0,4,"(362.5, 412.5, 7.512358105982148)",0.6696590946404416,0.0,-0.5362459594183637,0.7570708110055174,230.56740000174614
5,0,5,"(337.5, 412.5, 9.377700043801939)",0.000598165672276693,0.0,-0.789179000744569,0.0743671284304468,238.37759999878472
5,0,6,"(337.5, 412.5, 9.377700043801939)",0.14416236133029975,766.2852172851562,-0.2724943076079763,0.18547825716284982,121.1896999993769
5,0,7,"(337.5, 437.5, 10.400297021568935)",0.6200382179425695,0.0,-0.5836024948898697,0.6417345532585974,227.93219999948633
5,0,8,"(362.5, 437.5, 8.184609533832969)",0.039558028181367395,0.0,-0.9805232455081936,0.2024660234863221,273.7291000012192
5,0,9,"(362.5, 437.5, 8.184609533832969)",0.47434381788691854,745.4378051757812,-0.2871211862308368,0.6257160706675725,122.24920000153361
5,0,10,"(337.5, 437.5, 10.400297021568935)",0.7287365212110014,0.0,-0.7229569252125956,0.42971361909784755,207.8533999992942
5,0,11,"(337.5, 462.5, 10.942007264844266)",0.051804820696530675,0.0,-1.2060329984283293,0.33366379834722243,300.3296999995655
5,0,12,"(337.5, 462.5, 10.942007264844266)",0.7333321968265972,755.3578491210938,-0.3618746476828267,0.7352644710597,160.76419999808422
5,0,13,"(312.5, 462.5, 14.033224262378283)",2.0920971208304633e-06,0.0,-0.8226025916817256,0.00022254788173233954,229.94480000124895
5,0,14,"(287.5, 462.5, 17.977012825427398)",5.169373859340944e-07,0.0,-1.3905139672360574,7.242639016501181e-08,246.66570000044885
5,0,15,"(287.5, 462.5, 17.977012825427398)",0.0314199789510964,857.3221435546875,-0.5679102477281459,0.022218608091259737,127.62870000005933
5,1,0,"(437.5, 412.5, 3.7158125367455015)",0.7180229310118176,737.1724243164062,-0.29278207356314123,2.023262372484878,122.77630000244244
5,1,1,"(412.5, 412.5, 4.71743372998353)",0.3560824077974368,0.0,-0.5176684852365694,1.2618184031987065,233.61940000177128
5,1,2,"(387.5, 412.5, 5.968521653217249)",0.057920445998498334,0.0,-0.7597893720125619,1.0728807049299671,226.37849999955506
5,1,3,"(387.5, 412.5, 5.968521653217249)",0.4583911928525432,742.0872802734375,-0.24519124676011628,1.1963838736064654,121.7205000029935
5,1,4,"(362.5, 412.5, 7.512358105982148)",0.6858318542301605,0.0,-0.5362459594183637,0.7570708110055175,237.17120000219438
5,1,5,"(337.5, 412.5, 9.377700043801939)",0.001775953453034685,0.0,-0.7891790007445691,0.0743671284304468,241.85010000292095
5,1,6,"(337.5, 412.5, 9.377700043801939)",0.14261665596639408,766.0239868164062,-0.27249430760797627,0.18547827260073485,123.70809999993071
5,1,7,"(337.5, 437.5, 10.400297021568935)",0.6259071143682371,0.0,-0.5836024948898699,0.641734553061687,233.08539999925415
5,1,8,"(362.5, 437.5, 8.184609533832969)",0.026933128635125914,0.0,-0.9805232455081933,0.20246602348632203,271.8408000000636
5,1,9,"(362.5, 437.5, 8.184609533832969)",0.47477869784766946,745.4041137695312,-0.2871211862308367,0.6257160485568267,125.47279999853345
5,1,10,"(337.5, 437.5, 10.400297021568935)",0.7260544313847105,0.0,-0.7229569252125956,0.42971361888720405,207.442800001445
5,1,11,"(312.5, 437.5, 13.134116007120344)",0.22683884700140447,0.0,-1.4840881959309105,0.5022781529055746,249.28469999940717
5,1,12,"(312.5, 437.5, 13.134116007120344)",0.6516788251247393,763.703857421875,-0.4361250861253094,0.6808900874148458,121.79159999868716
5,1,13,"(287.5, 437.5, 16.365669713099226)",0.07578737004955595,0.0,-1.9932555391847695,0.04195264884022759,240.71269999694778
5,1,14,"(262.5, 437.5, 19.691492564685472)",9.761152995423164e-08,0.0,-4.290807649275083,4.847697225710955e-06,266.71580000038375
5,1,15,"(262.5, 437.5, 19.691492564685472)",0.003432366779968825,856.8884887695312,-2.2978238646245273,0.0012756648562413317,123.27550000190968
5,1,16,"(262.5, 437.5, 19.691492564685472)",7.750869020741129e-07,0.0,-4.595647729172418,3.874330863831011e-06,200.08100000268314
5,2,0,"(437.5, 412.5, 3.7158125367455015)",0.7123291131206069,737.3095092773438,-0.29278207356314123,2.0232623892549104,120.19130000044242
5,2,1,"(412.5, 412.5, 4.71743372998353)",0.32730701223178504,0.0,-0.5176684852365692,1.2618184031987063,228.03299999941373
5,2,2,"(387.5, 412.5, 5.968521653217249)",0.053960154453923215,0.0,-0.759789372012562,1.0728807049299673,227.95359999872744
5,2,3,"(387.5, 412.5, 5.968521653217249)",0.4574798929564438,742.120361328125,-0.24519124676011628,1.1963838597459426,120.66129999948316
5,2,4,"(362.5, 412.5, 7.512358105982148)",0.7012138041631735,0.0,-0.5362459594183636,0.7570708110055177,232.68719999759924
5,2,5,"(337.5, 412.5, 9.377700043801939)",0.002356105328848818,0.0,-0.7891790007445693,0.07436712843044678,235.76699999830453
5,2,6,"(337.5, 412.5, 9.377700043801939)",0.14394491774656573,766.383056640625,-0.2724943076079763,0.1854782617628083,126.12860000081128
5,2,7,"(337.5, 437.5, 10.400297021568935)",0.6165509122890145,0.0,-0.5836024948898696,0.6417345532465352,232.8825999975379
5,2,8,"(362.5, 437.5, 8.184609533832969)",0.03838405509786718,0.0,-0.9805232455081935,0.20246602348632203,272.6409999995667
5,2,9,"(362.5, 437.5, 8.184609533832969)",0.471248939551297,745.2538452148438,-0.28712118623083677,0.6257161007842503,124.93820000236155
5,2,10,"(337.5, 437.5, 10.400297021568935)",0.7232718251243964,0.0,-0.7229569252125956,0.42971361903677513,206.06639999823528
5,2,11,"(337.5, 462.5, 10.942007264844266)",0.05180466175082148,0.0,-1.2060329984283296,0.33366379834722254,300.165200002084
5,2,12,"(337.5, 462.5, 10.942007264844266)",0.7287906982720106,755.5086669921875,-0.3618746476828267,0.7352644273973689,156.9683999987319
5,2,13,"(312.5, 462.5, 14.033224262378283)",2.0920971208304637e-06,0.0,-0.8226025916817253,0.00022254788173233954,226.79950000019744
5,2,14,"(287.5, 462.5, 17.977012825427398)",5.169373859340944e-07,0.0,-1.3905139672360574,7.242639016501181e-08,246.91520000124
5,2,15,"(287.5, 462.5, 17.977012825427398)",0.033827187292450586,853.4109497070312,-0.5679102477281458,0.022218551921014372,121.35669999770471
5,3,0,"(437.5, 412.5, 3.7158125367455015)",0.7152447892038211,737.2135009765625,-0.2927820735631413,2.02326237822162,122.37939999977243
5,3,1,"(437.5, 387.5, 3.41874755045311)",0.565401875200614,0.0,-0.5457140624068212,1.5183809666647832,235.48380000283942
5,3,2,"(412.5, 387.5, 4.295992126710907)",0.12038587530453952,0.0,-0.8323080756969763,1.2480887448820388,223.80560000237892
5,3,3,"(412.5, 387.5, 4.295992126710907)",0.6291627505242064,739.0051879882812,-0.2818171573716006,1.3208669786321203,121.5135000020382
5,3,4,"(387.5, 387.5, 5.365977503075057)",0.8944378043708094,0.0,-0.5880133526950172,0.8778186457751955,228.18079999706242
5,3,5,"(362.5, 387.5, 6.644563227708976)",0.16931400696438115,0.0,-0.9553837414187984,0.7669751422859192,227.1139000004041
5,3,6,"(362.5, 387.5, 6.644563227708976)",0.7845511794085673,740.5918579101562,-0.3260092083259555,1.3221114182180673,119.75040000106674
5,3,7,"(337.5, 387.5, 8.122025837780313)",0.24582772753394966,0.0,-0.5311103071491634,0.29507793113969993,232.23000000143657
5,3,8,"(312.5, 387.5, 9.73254467824523)",0.012069000552299305,0.0,-1.1889941772190558,0.059122397884307634,225.2623999993375
5,3,9,"(312.5, 387.5, 9.73254467824523)",0.4811152533991887,752.7640991210938,-0.6668613618656937,0.5567967438880614,119.97160000100848
5,3,10,"(287.5, 387.5, 11.306348749090457)",0.3527888480053348,0.0,-1.6257081211692945,0.21118422564413078,231.28129999895464
5,3,11,"(262.5, 387.5, 12.530028997518446)",0.02410619954271629,0.0,-1.6440843028889582,0.07847316152817868,269.06939999753376
5,3,12,"(262.5, 387.5, 12.530028997518446)",0.2744623914534959,764.7003784179688,-0.5845164721487055,0.33391501907930626,172.42059999989579
5,3,13,"(262.5, 412.5, 15.847883528411389)",0.28947791581640103,0.0,-2.0820677819456916,0.13012744598443118,227.62409999995725
5,3,14,"(262.5, 412.5, 15.847883528411389)",-2.633193313765029e-07,0.0,-2.236787580859215,0.08417668741066422,227.88159999981872
5,3,15,"(262.5, 412.5, 15.847883528411389)",0.006148449305874431,818.2097778320312,-0.22055606836686792,0.006513119345353681,121.49860000135959
5,3,16,"(262.5, 387.5, 12.530028997518446)",0.026622770773808105,0.0,-2.2239965748772743,0.020215178134492313,207.95660000294447
5,3,17,"(262.5, 362.5, 9.841761282285685)",0.0035482260088192654,0.0,-2.396508210683231,0.015404784738149751,278.2895999989705
5,3,18,"(262.5, 362.5, 9.841761282285685)",0.18377070515602018,758.4985961914062,-0.3113108514923597,0.2138923848948839,123.55999999999767
