resolution,trial,step,observation,info_gain,pred_divergence,expected_accuracy,expected_Qs_entropy,inference_time_ms
10,0,0,"(437.5, 412.5, 3.7158125367455015)",0.64414106413794,736.185791015625,-0.23874200887304217,2.2700990276978135,248.52960000134772
10,0,1,"(412.5, 412.5, 4.71743372998353)",0.36345978904410187,0.0,-0.4228309821622748,1.6457243661331675,566.4735999998811
10,0,2,"(387.5, 412.5, 5.968521653217249)",0.05725199977556578,0.0,-0.6389186532226049,1.3748276287572507,606.7971000011312
10,0,3,"(387.5, 412.5, 5.968521653217249)",0.43540103775149264,740.5372314453125,-0.2141221712184647,1.4189461490539024,249.15700000201468
10,0,4,"(362.5, 412.5, 7.512358105982148)",0.42331151578631393,0.0,-0.41487672630582345,1.1733646460563376,553.052100000059
10,0,5,"(337.5, 412.5, 9.377700043801939)",0.055396055181797035,0.0,-0.6154511908701789,0.8301635826837898,628.0442000024777
10,0,6,"(337.5, 412.5, 9.377700043801939)",0.46088008734847496,751.8319702148438,-0.20410216100480352,0.9224142251868952,245.93219999951543
10,0,7,"(337.5, 387.5, 8.122025837780313)",0.861701825838314,0.0,-0.46542528205582795,1.0405408740951556,570.408800002042
10,0,8,"(312.5, 387.5, 9.73254467824523)",0.10359526673953741,0.0,-0.7078584355602467,0.9691330157303796,777.3422999998729
10,0,9,"(312.5, 387.5, 9.73254467824523)",0.759092893969713,745.3323364257812,-0.21895636785184197,1.1784622332941537,246.28859999938868
10,0,10,"(287.5, 387.5, 11.306348749090457)",1.1529832424936886,0.0,-0.4874183713807774,0.8959679484429968,566.0437999977148
10,0,11,"(287.5, 412.5, 13.851283065501828)",0.14464590946831676,0.0,-0.7813537954328325,0.4144258334448385,619.0550999999687
10,0,12,"(287.5, 412.5, 13.851283065501828)",0.8097980968218078,759.2901611328125,-0.24143887125811198,0.6297303999450288,249.78420000115875
10,0,13,"(287.5, 437.5, 16.365669713099226)",0.8627130561020794,0.0,-0.5031152323415635,0.39903495798190003,541.0323999967659
10,0,14,"(262.5, 437.5, 19.691492564685472)",0.011067246397336533,0.0,-0.8139149223490378,0.1419582898139911,766.7501999967499
10,0,15,"(262.5, 437.5, 19.691492564685472)",0.28611240276449135,787.9526977539062,-0.20796770218883956,0.1761636968493083,250.15929999790387
10,0,16,"(237.5, 437.5, 21.459341898515387)",0.06070702505897477,0.0,-0.6594019371615825,0.14019902763371422,496.4222999988124
10,1,0,"(437.5, 412.5, 3.7158125367455015)",0.6444283504593362,736.1653442382812,-0.23874200887304217,2.270098992482797,252.93990000136546
10,1,1,"(412.5, 412.5, 4.71743372998353)",0.3771761671853348,0.0,-0.42283098216227494,1.6457243661331682,575.5626000027405
10,1,2,"(387.5, 412.5, 5.968521653217249)",0.05813708901404773,0.0,-0.6389186532226049,1.374827628757251,612.546399999701
10,1,3,"(387.5, 412.5, 5.968521653217249)",0.4368878911946762,740.7621459960938,-0.21412217121846472,1.4189461426399135,247.87020000076154
10,1,4,"(362.5, 412.5, 7.512358105982148)",0.4049298884179428,0.0,-0.4148767263058235,1.1733646460563376,559.4569999993837
10,1,5,"(337.5, 412.5, 9.377700043801939)",0.05043822030226742,0.0,-0.6154511908701789,0.8301635826837898,617.8182999974524
10,1,6,"(337.5, 412.5, 9.377700043801939)",0.4579989061080399,751.78173828125,-0.20410216100480355,0.9224141640026822,247.77689999973518
10,1,7,"(337.5, 387.5, 8.122025837780313)",0.8828327449257263,0.0,-0.46542528205582795,1.0405408740951556,569.0969000024779
