resolution,trial,step,observation,info_gain,pred_divergence,expected_accuracy,expected_Qs_entropy,inference_time_ms
2,0,0,"(437.5, 412.5, 3.7158125367455015)",0.0447484330557286,734.9554443359375,-1.2801502106436158,1.6770997832559629,86.63669999805279
2,0,3,"(437.5, 362.5, 3.0693002026442198)",0.0803482100290063,736.9508056640625,-0.4603598008232607,0.5395528401098548,86.63930000329856
2,0,6,"(437.5, 312.5, 2.3288409680820936)",0.6418184698180052,736.2557373046875,-0.7056900217487893,1.7754389528169665,85.17370000117808
2,0,9,"(437.5, 312.5, 2.3288409680820936)",0.0832842826270417,735.4624633789062,-0.6435412505335107,1.1841143675336148,86.25040000333684
2,0,12,"(437.5, 312.5, 2.3288409680820936)",0.0849796774153496,735.4832153320312,-0.6439082890772211,1.1857932380680605,86.61539999957313
2,0,15,"(412.5, 287.5, 2.3680192003946603)",0.0296512016298136,736.6926879882812,-0.5632973857516136,1.044825635972631,88.91270000094664
2,0,18,"(412.5, 312.5, 2.8190600723806885)",0.2350513435101304,737.0420532226562,-0.6921599825751303,1.1023463640653632,88.10230000017327
2,0,21,"(387.5, 287.5, 2.795360823982221)",0.0393400518162619,737.444580078125,-0.5751993237974511,0.9807436086345496,90.84729999813136
2,0,24,"(387.5, 287.5, 2.795360823982221)",0.0442202280440467,737.4976196289062,-0.5662941564847928,0.796007514884063,86.2383999992744
2,0,27,"(387.5, 287.5, 2.795360823982221)",0.0439537996232073,737.4825439453125,-0.5661960873576448,0.7934943855175824,87.58939999825088
2,0,30,"(387.5, 287.5, 2.795360823982221)",0.0423202315451565,737.5054931640625,-0.5661944993234888,0.7934537979217186,87.5971000023128
2,0,33,"(387.5, 287.5, 2.795360823982221)",0.0409013266282671,737.5090942382812,-0.5661944817698861,0.7934530843218813,89.81909999783966
2,0,36,"(412.5, 312.5, 2.8190600723806885)",0.3330092370320818,737.2305908203125,-0.6917036819236531,1.1639447445402262,85.53000000028987
2,0,39,"(387.5, 287.5, 2.795360823982221)",0.0372214034417214,737.4602661132812,-0.5750546498020015,0.9781969964751104,89.46120000109659
2,0,42,"(387.5, 312.5, 3.371997408476144)",0.5473011963537587,738.436279296875,-0.7249969304222168,1.4577455891386433,85.34879999933764
2,0,45,"(362.5, 287.5, 3.2481324511568093)",0.0653396778333843,738.2374877929688,-0.5516574452308719,0.7499910652372069,85.79260000260547
2,0,48,"(362.5, 287.5, 3.2481324511568093)",0.0915324385688476,738.370361328125,-0.5460693122604914,0.6194024508999468,88.3401999999478
2,0,51,"(387.5, 312.5, 3.371997408476144)",0.1880769694946975,737.8292846679688,-0.7373164568448196,0.8342924170051925,87.37769999788725
2,0,54,"(387.5, 312.5, 3.371997408476144)",0.3016700760431399,738.12548828125,-0.7348437630958712,1.0304467644185231,86.8296000007831
2,0,57,"(387.5, 312.5, 3.371997408476144)",0.315414212656658,738.0653686523438,-0.7347828815198304,1.034811148532233,89.0488999975787
2,0,60,"(387.5, 312.5, 3.371997408476144)",0.308287175845067,738.0662841796875,-0.7347818878525046,1.0348822040534016,89.61620000263792
2,0,63,"(362.5, 287.5, 3.2481324511568093)",0.0671990456660784,738.2954711914062,-0.5517043444669169,0.75082687688154,88.07510000042384
2,0,66,"(337.5, 312.5, 4.592532186196013)",0.3227696110397875,738.8434448242188,-0.6350983290134726,1.4526373538321955,124.57870000071124
2,0,69,"(337.5, 262.5, 2.964249814698708)",0.0308997108825579,738.759033203125,-0.4271380941078228,0.8275460643719307,84.82669999648351
2,1,0,"(437.5, 412.5, 3.7158125367455015)",0.0441384754680724,734.9349975585938,-1.2801502106436151,1.6770997807946224,89.80180000071414
2,1,3,"(437.5, 362.5, 3.0693002026442198)",0.0805240480946863,736.8915405273438,-0.4603598008232608,0.5395528621875352,86.72359999764012
2,1,6,"(437.5, 312.5, 2.3288409680820936)",0.6376992103755995,736.2335815429688,-0.7056900217487893,1.7754389189684625,88.25369999976829
2,1,9,"(412.5, 287.5, 2.3680192003946603)",0.0227158831578937,736.6458129882812,-0.572853374871523,1.2057586753333194,88.31529999952181
2,1,12,"(412.5, 312.5, 2.8190600723806885)",0.2376991170775256,737.0414428710938,-0.6921204738708704,1.095777249478664,85.43690000078641
2,1,15,"(412.5, 312.5, 2.8190600723806885)",0.1362971999728989,736.8674926757812,-0.6927086827720981,0.9684834579516262,85.70319999853382
2,1,18,"(412.5, 287.5, 2.3680192003946603)",0.0345994314766983,736.67919921875,-0.561229437944554,0.9960488141425854,88.93589999934193
2,1,21,"(387.5, 312.5, 3.371997408476144)",0.4213556475619325,738.2539672851562,-0.7326770681422526,1.2606585527855183,88.07560000059311
2,1,24,"(412.5, 287.5, 2.3680192003946603)",0.0251420970031609,736.678466796875,-0.5618035236040182,0.995458000487746,86.41359999819542
2,1,27,"(362.5, 287.5, 3.2481324511568093)",0.0595480700366984,738.227783203125,-0.5573810866672744,0.8466075079259362,94.38159999990604
2,1,30,"(362.5, 287.5, 3.2481324511568093)",0.0953756360674183,738.3767700195312,-0.5460868724516936,0.6191901071460094,85.45040000171866
2,1,33,"(337.5, 312.5, 4.592532186196013)",0.3255464659942153,738.9144897460938,-0.6320712364372987,1.463069973039833,119.90289999812376
2,1,36,"(337.5, 262.5, 2.964249814698708)",0.0315071913723607,738.742431640625,-0.427137472141727,0.8274738936736608,86.6377000020293
2,1,39,"(337.5, 312.5, 4.592532186196013)",0.1571910821255121,739.7581176757812,-0.7117705559910984,0.728028428941696,96.92730000097072
2,1,42,"(337.5, 262.5, 2.964249814698708)",0.0315565854510798,738.7781372070312,-0.4271508696145805,0.8289926709195137,85.30729999984032
2,1,45,"(337.5, 312.5, 4.592532186196013)",0.1526377432892944,739.7012329101562,-0.7117743107323222,0.7279139203252541,101.0798999996041
2,1,48,"(337.5, 262.5, 2.964249814698708)",0.0295916176374006,738.771240234375,-0.4271508843633353,0.8289929254340387,86.30589999665972
2,1,51,"(337.5, 312.5, 4.592532186196013)",0.1537997824864274,739.7543334960938,-0.7117743107323226,0.7279139393752081,97.69770000275456
2,1,54,"(337.5, 262.5, 2.964249814698708)",0.0308815860106728,738.7567138671875,-0.4271508843633353,0.8289929196929444,85.43839999765623
2,1,57,"(337.5, 312.5, 4.592532186196013)",0.1524806269283179,739.7286376953125,-0.7117743107323227,0.7279139508684873,96.47929999846384
2,1,60,"(337.5, 262.5, 2.964249814698708)",0.0321963161433696,738.7743530273438,-0.4271508843633352,0.8289929181335317,83.7638999983028
2,1,63,"(337.5, 312.5, 4.592532186196013)",0.1549215767224489,739.7080078125,-0.7117743107323224,0.727913913114607,99.5543999997608
2,1,66,"(362.5, 287.5, 3.2481324511568093)",0.0824222492662422,738.3867797851562,-0.5456561874731466,0.5883030269832171,84.39630000066245
2,1,69,"(337.5, 312.5, 4.592532186196013)",0.3281484386017147,738.9635009765625,-0.6323759839306283,1.4619604271479898,122.85730000076
2,2,0,"(437.5, 412.5, 3.7158125367455015)",0.0448139678218615,734.962646484375,-1.2801502106436156,1.6770997694800294,85.350199999084
2,2,3,"(437.5, 362.5, 3.0693002026442198)",0.077446993960339,736.9490356445312,-0.4603598008232608,0.5395528588880104,82.34559999982594
2,2,6,"(437.5, 312.5, 2.3288409680820936)",0.6345937260125991,736.2954711914062,-0.7056900217487893,1.7754389034846767,86.50180000040564
2,2,9,"(412.5, 287.5, 2.3680192003946603)",0.0229400236961857,736.6483764648438,-0.5728533748715229,1.205758680519358,86.37459999954444
2,2,12,"(412.5, 287.5, 2.3680192003946603)",0.0257563713411115,736.6718139648438,-0.564516949917061,1.0619163779944047,86.40809999997145
2,2,15,"(412.5, 312.5, 2.8190600723806885)",0.2431299901292181,737.0706176757812,-0.6921107758287491,1.0985016558291674,87.79510000022128
2,2,18,"(387.5, 287.5, 2.795360823982221)",0.0366466242244094,737.4583740234375,-0.575199715929344,0.980748405679141,87.38090000042575
2,2,21,"(362.5, 312.5, 3.972924796908688)",0.5677241275352417,739.4962768554688,-0.6205976837517111,1.6219685421408394,85.92940000016824
2,2,24,"(362.5, 287.5, 3.2481324511568093)",0.0710372777925016,738.3499145507812,-0.5479616718741159,0.6629599766896433,86.56120000159717
2,2,27,"(362.5, 287.5, 3.2481324511568093)",0.089993911261845,738.4389038085938,-0.5460469472159598,0.6188653078236426,87.02249999987544
2,2,30,"(387.5, 312.5, 3.371997408476144)",0.1900253347031203,737.8839721679688,-0.7373156665050783,0.8343149597107622,88.86809999967227
2,2,33,"(387.5, 312.5, 3.371997408476144)",0.3089011528886664,738.13671875,-0.7348437539085825,1.0304477471476332,88.65069999956177
2,2,36,"(387.5, 262.5, 2.2927863351327353)",0.0121182986765425,737.2807006835938,-0.4765687414129524,1.2064832623707344,88.606900000741
2,2,39,"(387.5, 312.5, 3.371997408476144)",0.0611203990615071,737.7255249023438,-0.739610417366005,0.6132345427699412,84.96010000089882
2,2,42,"(362.5, 287.5, 3.2481324511568093)",0.1274479379334162,738.4888916015625,-0.5458721188627831,0.6435528710891419,84.090100001049
2,2,45,"(362.5, 312.5, 3.972924796908688)",0.3673040251394298,738.9378051757812,-0.7331075042033368,1.1640726364811411,124.46759999875212
2,2,48,"(362.5, 262.5, 2.6317000424023482)",0.0189381657053907,737.935302734375,-0.4558771199890949,1.0151519185765117,86.0501999995904
2,2,51,"(362.5, 312.5, 3.972924796908688)",0.101891668135132,738.7164916992188,-0.7569275455180471,0.5235001012948322,87.5644999978249
2,2,54,"(387.5, 287.5, 2.795360823982221)",0.0383531293979015,737.5146484375,-0.5647039613233338,0.7407563298843772,87.65649999986636
2,2,57,"(362.5, 312.5, 3.972924796908688)",0.292096795112191,738.929443359375,-0.7444885413761756,1.001304720717616,112.81109999981707
2,2,60,"(362.5, 287.5, 3.2481324511568093)",0.0721012751005251,738.354736328125,-0.5479984652895153,0.6633652435827114,90.96780000254512
2,2,63,"(362.5, 287.5, 3.2481324511568093)",0.0952080720453627,738.396728515625,-0.5460471792939796,0.6188575822869216,84.52309999847785
2,2,66,"(362.5, 287.5, 3.2481324511568093)",0.0528573709763538,738.1981811523438,-0.5602067888911164,0.8766462482849836,87.40649999890593
2,2,69,"(362.5, 287.5, 3.2481324511568093)",0.088669581175906,738.4113159179688,-0.5460829371927348,0.6165310328664143,86.1536000011256
2,3,0,"(437.5, 412.5, 3.7158125367455015)",0.0446375821138125,734.9328002929688,-1.2801502106436158,1.6770997830819965,86.81110000179615
2,3,3,"(437.5, 362.5, 3.0693002026442198)",0.0794182508713625,736.939453125,-0.4603598008232607,0.5395528430491434,87.42619999975432
2,3,6,"(437.5, 312.5, 2.3288409680820936)",0.637054282905267,736.2444458007812,-0.7056900217487894,1.775438898172155,87.51960000154213
2,3,9,"(412.5, 287.5, 2.3680192003946603)",0.0239422780506638,736.6514892578125,-0.572853374871523,1.205758660986098,90.3346999984933
2,3,12,"(387.5, 312.5, 3.371997408476144)",0.4086808168141575,738.2116088867188,-0.733024564706962,1.244877994943633,85.21720000135247
2,3,15,"(387.5, 262.5, 2.2927863351327353)",0.0116934313909234,737.2764282226562,-0.4765887790703449,1.2075273082558733,86.00370000203839
2,3,18,"(387.5, 312.5, 3.371997408476144)",0.0631604695417876,737.7031860351562,-0.7396107203742464,0.6132436429773398,84.25139999962994
2,3,21,"(362.5, 287.5, 3.2481324511568093)",0.1252900986229716,738.4447631835938,-0.5458721217474256,0.6435529285305568,85.99189999949886
2,3,24,"(362.5, 287.5, 3.2481324511568093)",0.0618634849334454,738.2701416015625,-0.5544241108499016,0.7965527217352243,86.27210000122432
2,3,27,"(362.5, 287.5, 3.2481324511568093)",0.0889194243730051,738.41943359375,-0.5460784817579538,0.6191997937023149,90.96990000034566
2,3,30,"(337.5, 312.5, 4.592532186196013)",0.3317269442893062,738.9151611328125,-0.6320540883838782,1.4631280090281096,123.824300000706
2,3,33,"(337.5, 262.5, 2.964249814698708)",0.0299103173574739,738.76171875,-0.4271374565744443,0.827473657799587,86.72570000271662
2,3,36,"(337.5, 312.5, 4.592532186196013)",0.1566092807188252,739.6949462890625,-0.7117705559910983,0.7280283990642232,96.19050000037532
2,3,39,"(337.5, 262.5, 2.964249814698708)",0.0285763674134223,738.7637329101562,-0.4271508696145804,0.828992675616663,86.33320000080857
2,3,42,"(337.5, 312.5, 4.592532186196013)",0.1537599719099993,739.7598876953125,-0.7117743107323224,0.7279139213167548,99.20640000200363
2,3,45,"(362.5, 287.5, 3.2481324511568093)",0.0833231172733694,738.3999633789062,-0.5456561874731466,0.5883030485265535,86.87640000061947
2,3,48,"(362.5, 287.5, 3.2481324511568093)",0.0542388603684129,738.1913452148438,-0.5601713397689063,0.8760737979741564,88.09019999898737
